State,Gender,Race,Year,Population
New York,Female,White,2010.0,7102454.0
New York,Female,Native Hawaiian or Other Pacific Islander,2010.0,12300.0
Arkansas,Male,American Indian or Alaska Native,2010.0,13178.0
New York,Female,Black or African American,2010.0,1817459.0
New York,Female,Asian,2010.0,772259.0
New York,Female,American Indian or Alaska Native,2010.0,90908.0
New Mexico,Male,More than one race,2010.0,22910.0
New Mexico,Male,White,2010.0,852823.0
Arkansas,Male,Asian,2010.0,17947.0
New Mexico,Male,Native Hawaiian or Other Pacific Islander,2010.0,1621.0
New Mexico,Male,Black or African American,2010.0,26668.0
Wyoming,Male,Asian,2010.0,2073.0
California,Male,Native Hawaiian or Other Pacific Islander,2010.0,90582.0
California,Female,American Indian or Alaska Native,2010.0,305568.0
New Jersey,Female,American Indian or Alaska Native,2010.0,23840.0
Nevada,Female,More than one race,2010.0,49432.0
Nevada,Female,White,2010.0,1031096.0
Nevada,Female,Native Hawaiian or Other Pacific Islander,2010.0,9659.0
West Virginia,Female,Black or African American,2010.0,29524.0
Nevada,Female,Black or African American,2010.0,114607.0
California,Male,American Indian or Alaska Native,2010.0,317587.0
Nevada,Female,Asian,2010.0,112093.0
Nevada,Female,American Indian or Alaska Native,2010.0,21408.0
Nebraska,Male,More than one race,2010.0,16109.0
California,Female,More than one race,2010.0,657491.0
Nebraska,Male,White,2010.0,818946.0
Nebraska,Male,Native Hawaiian or Other Pacific Islander,2010.0,1100.0
Nebraska,Male,Black or African American,2010.0,43900.0
Nebraska,Male,Asian,2010.0,16166.0
Nebraska,Male,American Indian or Alaska Native,2010.0,11888.0
Nebraska,Female,More than one race,2010.0,16495.0
California,Male,Black or African American,2010.0,1225792.0
West Virginia,Female,Native Hawaiian or Other Pacific Islander,2010.0,235.0
Nebraska,Female,White,2010.0,832203.0
Nebraska,Female,Native Hawaiian or Other Pacific Islander,2010.0,990.0
Florida,Female,Native Hawaiian or Other Pacific Islander,2010.0,9219.0
Nevada,Male,American Indian or Alaska Native,2010.0,21629.0
Nevada,Male,Asian,2010.0,92763.0
Nevada,Male,Black or African American,2010.0,117209.0
New Hampshire,Male,More than one race,2010.0,9341.0
West Virginia,Female,American Indian or Alaska Native,2010.0,1835.0
New Hampshire,Male,White,2010.0,615024.0
California,Female,Asian,2010.0,2660686.0
New Hampshire,Male,Native Hawaiian or Other Pacific Islander,2010.0,260.0
New Hampshire,Male,Black or African American,2010.0,9263.0
New Hampshire,Male,Asian,2010.0,13805.0
New Hampshire,Male,American Indian or Alaska Native,2010.0,1844.0
California,Female,Black or African American,2010.0,1260514.0
New Hampshire,Female,More than one race,2010.0,9568.0
New Hampshire,Female,White,2010.0,633080.0
New Hampshire,Female,Native Hawaiian or Other Pacific Islander,2010.0,268.0
New Hampshire,Female,Black or African American,2010.0,7258.0
California,Female,Native Hawaiian or Other Pacific Islander,2010.0,91510.0
New Hampshire,Female,Asian,2010.0,15355.0
West Virginia,Female,Asian,2010.0,6744.0
New Hampshire,Female,American Indian or Alaska Native,2010.0,1696.0
Nevada,Male,More than one race,2010.0,48200.0
Nevada,Male,White,2010.0,1074661.0
California,Female,White,2010.0,13797795.0
Nevada,Male,Native Hawaiian or Other Pacific Islander,2010.0,9648.0
New Jersey,Female,Asian,2010.0,384984.0
Massachusetts,Female,Black or African American,2010.0,263604.0
Massachusetts,Female,Asian,2010.0,189602.0
Connecticut,Female,Native Hawaiian or Other Pacific Islander,2010.0,1600.0
Illinois,Female,More than one race,2010.0,107693.0
Illinois,Female,White,2010.0,5069916.0
Wyoming,Female,Black or African American,2010.0,2103.0
District of Columbia,Female,Black or African American,2010.0,169539.0
Illinois,Female,Native Hawaiian or Other Pacific Islander,2010.0,3620.0
Illinois,Female,Black or African American,2010.0,1011866.0
Wisconsin,Male,Black or African American,2010.0,180674.0
Illinois,Female,Asian,2010.0,314860.0
Illinois,Female,American Indian or Alaska Native,2010.0,35443.0
Illinois,Male,American Indian or Alaska Native,2010.0,38423.0
District of Columbia,Female,Native Hawaiian or Other Pacific Islander,2010.0,368.0
Idaho,Male,White,2010.0,740893.0
Idaho,Male,Native Hawaiian or Other Pacific Islander,2010.0,1484.0
Idaho,Male,Black or African American,2010.0,6369.0
District of Columbia,Female,White,2010.0,127061.0
Idaho,Male,Asian,2010.0,8991.0
Idaho,Male,American Indian or Alaska Native,2010.0,13096.0
Idaho,Female,More than one race,2010.0,16171.0
Idaho,Female,White,2010.0,737955.0
Wisconsin,Male,Native Hawaiian or Other Pacific Islander,2010.0,1340.0
Idaho,Male,More than one race,2010.0,15966.0
Illinois,Male,Asian,2010.0,293196.0
District of Columbia,Female,Asian,2010.0,12709.0
Illinois,Male,Black or African American,2010.0,891991.0
Delaware,Male,Native Hawaiian or Other Pacific Islander,2010.0,346.0
Indiana,Male,More than one race,2010.0,53105.0
Indiana,Male,White,2010.0,2783184.0
Wisconsin,Male,American Indian or Alaska Native,2010.0,30373.0
Indiana,Male,Native Hawaiian or Other Pacific Islander,2010.0,1780.0
Indiana,Male,Black or African American,2010.0,290433.0
Delaware,Male,White,2010.0,315528.0
Indiana,Male,Asian,2010.0,51925.0
Indiana,Male,American Indian or Alaska Native,2010.0,12675.0
Indiana,Female,More than one race,2010.0,55372.0
Indiana,Female,White,2010.0,2858216.0
Delaware,Male,More than one race,2010.0,9442.0
Indiana,Female,Native Hawaiian or Other Pacific Islander,2010.0,1757.0
Indiana,Female,Black or African American,2010.0,314817.0
Indiana,Female,Asian,2010.0,55327.0
Indiana,Female,American Indian or Alaska Native,2010.0,11841.0
Wisconsin,Male,Asian,2010.0,64657.0
District of Columbia,Female,American Indian or Alaska Native,2010.0,1603.0
Illinois,Male,More than one race,2010.0,104615.0
Illinois,Male,White,2010.0,4965067.0
Illinois,Male,Native Hawaiian or Other Pacific Islander,2010.0,3813.0
District of Columbia,Female,More than one race,2010.0,7993.0
Iowa,Female,American Indian or Alaska Native,2010.0,6751.0
Idaho,Female,Native Hawaiian or Other Pacific Islander,2010.0,1315.0
Idaho,Female,Asian,2010.0,11076.0
Georgia,Male,American Indian or Alaska Native,2010.0,25983.0
Georgia,Female,More than one race,2010.0,86706.0
Georgia,Female,White,2010.0,3090985.0
Georgia,Female,Native Hawaiian or Other Pacific Islander,2010.0,4876.0
District of Columbia,Male,More than one race,2010.0,6520.0
Georgia,Female,Black or African American,2010.0,1596899.0
Georgia,Female,Asian,2010.0,168519.0
Georgia,Female,American Indian or Alaska Native,2010.0,22711.0
Florida,Male,More than one race,2010.0,163291.0
District of Columbia,Male,White,2010.0,126550.0
Wyoming,Female,Asian,2010.0,2647.0
Florida,Male,White,2010.0,7283546.0
Wyoming,Female,American Indian or Alaska Native,2010.0,7146.0
Florida,Male,Native Hawaiian or Other Pacific Islander,2010.0,9665.0
Florida,Male,Black or African American,2010.0,1487667.0
Florida,Female,Asian,2010.0,256520.0
Florida,Male,Asian,2010.0,220972.0
Florida,Male,American Indian or Alaska Native,2010.0,46815.0
Florida,Female,More than one race,2010.0,171489.0
Florida,Female,White,2010.0,7549744.0
Florida,Female,American Indian or Alaska Native,2010.0,42520.0
Georgia,Male,Asian,2010.0,158265.0
Wisconsin,Male,More than one race,2010.0,43840.0
Georgia,Male,Black or African American,2010.0,1409148.0
Idaho,Female,American Indian or Alaska Native,2010.0,12837.0
District of Columbia,Male,American Indian or Alaska Native,2010.0,1676.0
Hawaii,Male,More than one race,2010.0,158839.0
Hawaii,Male,White,2010.0,188305.0
Hawaii,Male,Native Hawaiian or Other Pacific Islander,2010.0,70665.0
Hawaii,Male,Black or African American,2010.0,13965.0
Hawaii,Male,Asian,2010.0,248817.0
District of Columbia,Male,Asian,2010.0,9230.0
Hawaii,Male,American Indian or Alaska Native,2010.0,2694.0
Wisconsin,Male,White,2010.0,2503292.0
Hawaii,Female,More than one race,2010.0,156638.0
Hawaii,Female,White,2010.0,161278.0
District of Columbia,Male,Black or African American,2010.0,141558.0
Hawaii,Female,Native Hawaiian or Other Pacific Islander,2010.0,68200.0
Hawaii,Female,Black or African American,2010.0,8768.0
Hawaii,Female,Asian,2010.0,283455.0
Hawaii,Female,American Indian or Alaska Native,2010.0,2339.0
Georgia,Male,More than one race,2010.0,81070.0
District of Columbia,Male,Native Hawaiian or Other Pacific Islander,2010.0,419.0
Georgia,Male,White,2010.0,3061074.0
Georgia,Male,Native Hawaiian or Other Pacific Islander,2010.0,5645.0
Idaho,Female,Black or African American,2010.0,4593.0
Iowa,Female,Asian,2010.0,27627.0
Iowa,Female,Black or African American,2010.0,43538.0
Iowa,Female,Native Hawaiian or Other Pacific Islander,2010.0,1174.0
Maine,Male,American Indian or Alaska Native,2010.0,4353.0
Maine,Female,More than one race,2010.0,9828.0
Connecticut,Male,Black or African American,2010.0,187394.0
Maine,Female,White,2010.0,648455.0
Maine,Female,Native Hawaiian or Other Pacific Islander,2010.0,172.0
Maine,Female,Black or African American,2010.0,7227.0
Maine,Female,Asian,2010.0,7834.0
Maine,Female,American Indian or Alaska Native,2010.0,4422.0
Connecticut,Male,Native Hawaiian or Other Pacific Islander,2010.0,1909.0
Maine,Male,Asian,2010.0,6015.0
Wisconsin,Female,Asian,2010.0,68104.0
Louisiana,Male,White,2010.0,1442244.0
Louisiana,Male,Native Hawaiian or Other Pacific Islander,2010.0,1413.0
Connecticut,Male,White,2010.0,1441093.0
Louisiana,Male,Black or African American,2010.0,698473.0
Louisiana,Male,Asian,2010.0,35906.0
Louisiana,Male,American Indian or Alaska Native,2010.0,16790.0
Louisiana,Female,More than one race,2010.0,30951.0
Louisiana,Female,White,2010.0,1465684.0
Connecticut,Male,More than one race,2010.0,34703.0
Louisiana,Male,More than one race,2010.0,29837.0
Maine,Male,Black or African American,2010.0,9201.0
Connecticut,Male,Asian,2010.0,68687.0
Maine,Male,Native Hawaiian or Other Pacific Islander,2010.0,202.0
Massachusetts,Female,American Indian or Alaska Native,2010.0,14759.0
Maryland,Male,More than one race,2010.0,67097.0
Maryland,Male,White,2010.0,1747482.0
Maryland,Male,Native Hawaiian or Other Pacific Islander,2010.0,2844.0
Maryland,Male,Black or African American,2010.0,809748.0
Connecticut,Female,White,2010.0,1511609.0
West Virginia,Male,More than one race,2010.0,12804.0
Maryland,Male,Asian,2010.0,156577.0
Maryland,Male,American Indian or Alaska Native,2010.0,16163.0
Maryland,Female,More than one race,2010.0,71905.0
Connecticut,Female,More than one race,2010.0,36324.0
Maryland,Female,White,2010.0,1798342.0
Maryland,Female,Native Hawaiian or Other Pacific Islander,2010.0,2595.0
Maryland,Female,Black or African American,2010.0,927900.0
Maryland,Female,Asian,2010.0,173158.0
Wyoming,Female,White,2010.0,259647.0
Connecticut,Male,American Indian or Alaska Native,2010.0,8532.0
Maryland,Female,American Indian or Alaska Native,2010.0,14834.0
Maine,Male,More than one race,2010.0,9638.0
Maine,Male,White,2010.0,620282.0
Wisconsin,Female,American Indian or Alaska Native,2010.0,30031.0
Louisiana,Female,Native Hawaiian or Other Pacific Islander,2010.0,1173.0
Louisiana,Female,Black or African American,2010.0,769199.0
Wisconsin,Female,Black or African American,2010.0,187038.0
Louisiana,Female,Asian,2010.0,36476.0
Kansas,Male,American Indian or Alaska Native,2010.0,16713.0
Wisconsin,Female,White,2010.0,2534420.0
Kansas,Female,More than one race,2010.0,37505.0
Delaware,Female,More than one race,2010.0,10604.0
Kansas,Female,White,2010.0,1263364.0
Kansas,Female,Native Hawaiian or Other Pacific Islander,2010.0,1330.0
Kansas,Female,Black or African American,2010.0,85011.0
Kansas,Female,Asian,2010.0,36452.0
Kansas,Female,American Indian or Alaska Native,2010.0,16420.0
Delaware,Male,American Indian or Alaska Native,2010.0,3032.0
Iowa,Male,More than one race,2010.0,22710.0
Iowa,Male,White,2010.0,1403874.0
Iowa,Male,Native Hawaiian or Other Pacific Islander,2010.0,1282.0
Iowa,Male,Black or African American,2010.0,48926.0
Wisconsin,Female,More than one race,2010.0,45524.0
Delaware,Male,Asian,2010.0,14220.0
Iowa,Male,Asian,2010.0,27175.0
Iowa,Male,American Indian or Alaska Native,2010.0,6963.0
Iowa,Female,More than one race,2010.0,22583.0
Iowa,Female,White,2010.0,1438142.0
Delaware,Male,Black or African American,2010.0,93082.0
Kansas,Male,Asian,2010.0,33726.0
North Carolina,Female,American Indian or Alaska Native,2010.0,73904.0
Delaware,Female,White,2010.0,330877.0
Kansas,Male,Black or African American,2010.0,88847.0
Delaware,Female,American Indian or Alaska Native,2010.0,2890.0
Louisiana,Female,American Indian or Alaska Native,2010.0,16386.0
Kentucky,Male,More than one race,2010.0,33272.0
Kentucky,Male,White,2010.0,1903419.0
Kentucky,Male,Native Hawaiian or Other Pacific Islander,2010.0,1760.0
Kentucky,Male,Black or African American,2010.0,170703.0
Delaware,Female,Asian,2010.0,15289.0
Kentucky,Male,Asian,2010.0,23824.0
Kentucky,Male,American Indian or Alaska Native,2010.0,6447.0
Kentucky,Female,More than one race,2010.0,34262.0
Kentucky,Female,White,2010.0,1966562.0
Wisconsin,Female,Native Hawaiian or Other Pacific Islander,2010.0,1182.0
Delaware,Female,Black or African American,2010.0,103936.0
Kentucky,Female,Native Hawaiian or Other Pacific Islander,2010.0,1450.0
Kentucky,Female,Black or African American,2010.0,173794.0
Kentucky,Female,Asian,2010.0,26965.0
Kentucky,Female,American Indian or Alaska Native,2010.0,5723.0
Delaware,Female,Native Hawaiian or Other Pacific Islander,2010.0,347.0
Kansas,Male,More than one race,2010.0,36322.0
Kansas,Male,White,2010.0,1240965.0
Kansas,Male,Native Hawaiian or Other Pacific Islander,2010.0,1535.0
Wyoming,Female,Native Hawaiian or Other Pacific Islander,2010.0,243.0
North Carolina,Female,Asian,2010.0,113636.0
California,Male,Asian,2010.0,2401000.0
Rhode Island,Male,Native Hawaiian or Other Pacific Islander,2010.0,797.0
Alaska,Male,Asian,2010.0,18476.0
Washington,Female,American Indian or Alaska Native,2010.0,60854.0
Rhode Island,Male,White,2010.0,439163.0
Rhode Island,Male,Black or African American,2010.0,37462.0
Alaska,Male,Black or African American,2010.0,13607.0
Rhode Island,Male,Asian,2010.0,15181.0
Rhode Island,Male,American Indian or Alaska Native,2010.0,4556.0
Rhode Island,Male,More than one race,2010.0,12115.0
Rhode Island,Female,More than one race,2010.0,12780.0
Rhode Island,Female,Native Hawaiian or Other Pacific Islander,2010.0,813.0
Alaska,Male,Native Hawaiian or Other Pacific Islander,2010.0,3964.0
Rhode Island,Female,Black or African American,2010.0,38132.0
Rhode Island,Female,Asian,2010.0,17053.0
Washington,Female,Asian,2010.0,267143.0
Rhode Island,Female,American Indian or Alaska Native,2010.0,4713.0
Alaska,Male,White,2010.0,256699.0
Rhode Island,Female,White,2010.0,471194.0
South Carolina,Female,American Indian or Alaska Native,2010.0,11685.0
South Carolina,Female,Asian,2010.0,32830.0
South Carolina,Female,Black or African American,2010.0,692298.0
South Dakota,Female,Black or African American,2010.0,4240.0
South Dakota,Female,Asian,2010.0,4135.0
South Dakota,Female,American Indian or Alaska Native,2010.0,36991.0
South Carolina,Male,More than one race,2010.0,33534.0
Alaska,Female,White,2010.0,229261.0
South Carolina,Male,White,2010.0,1564134.0
South Carolina,Male,Native Hawaiian or Other Pacific Islander,2010.0,2171.0
Virginia,Male,More than one race,2010.0,97229.0
South Carolina,Male,Black or African American,2010.0,612975.0
Alaska,Female,More than one race,2010.0,24655.0
South Carolina,Male,Asian,2010.0,29007.0
South Carolina,Male,American Indian or Alaska Native,2010.0,13010.0
South Carolina,Female,More than one race,2010.0,35570.0
South Carolina,Female,White,2010.0,1606624.0
Wyoming,Male,White,2010.0,270088.0
Alaska,Male,American Indian or Alaska Native,2010.0,53945.0
South Carolina,Female,Native Hawaiian or Other Pacific Islander,2010.0,1811.0
Pennsylvania,Male,More than one race,2010.0,98948.0
Pennsylvania,Male,White,2010.0,5212458.0
Pennsylvania,Male,Native Hawaiian or Other Pacific Islander,2010.0,3553.0
Pennsylvania,Male,Black or African American,2010.0,686503.0
Oregon,Female,White,2010.0,1720491.0
Oregon,Female,Native Hawaiian or Other Pacific Islander,2010.0,7172.0
Arizona,Female,Native Hawaiian or Other Pacific Islander,2010.0,7438.0
Oregon,Female,Black or African American,2010.0,34275.0
Oregon,Female,Asian,2010.0,79150.0
Oregon,Female,American Indian or Alaska Native,2010.0,32605.0
Oklahoma,Male,More than one race,2010.0,101846.0
Wyoming,Male,Native Hawaiian or Other Pacific Islander,2010.0,277.0
Arizona,Female,White,2010.0,2731840.0
Oklahoma,Male,White,2010.0,1414162.0
Oklahoma,Male,Native Hawaiian or Other Pacific Islander,2010.0,2809.0
Oklahoma,Male,Black or African American,2010.0,142128.0
Oklahoma,Male,Asian,2010.0,32073.0
Washington,Female,White,2010.0,2774926.0
Arizona,Female,More than one race,2010.0,77437.0
Oklahoma,Male,American Indian or Alaska Native,2010.0,167292.0
Oklahoma,Female,More than one race,2010.0,106874.0
Washington,Female,Native Hawaiian or Other Pacific Islander,2010.0,21775.0
South Dakota,Female,Native Hawaiian or Other Pacific Islander,2010.0,245.0
Oregon,Female,More than one race,2010.0,64732.0
Arizona,Female,Black or African American,2010.0,135101.0
Pennsylvania,Male,Asian,2010.0,174198.0
Alaska,Male,More than one race,2010.0,24903.0
Pennsylvania,Male,American Indian or Alaska Native,2010.0,20319.0
Pennsylvania,Female,More than one race,2010.0,104712.0
Pennsylvania,Female,White,2010.0,5451591.0
Pennsylvania,Female,Native Hawaiian or Other Pacific Islander,2010.0,3624.0
Washington,Female,Black or African American,2010.0,117236.0
Arizona,Female,American Indian or Alaska Native,2010.0,170237.0
Pennsylvania,Female,Black or African American,2010.0,748546.0
Pennsylvania,Female,Asian,2010.0,186945.0
Pennsylvania,Female,American Indian or Alaska Native,2010.0,19763.0
Oregon,Male,More than one race,2010.0,63105.0
Arizona,Female,Asian,2010.0,101197.0
Oregon,Male,White,2010.0,1686459.0
Oregon,Male,Native Hawaiian or Other Pacific Islander,2010.0,7591.0
Oregon,Male,Black or African American,2010.0,40294.0
Oregon,Male,Asian,2010.0,67177.0
Oregon,Male,American Indian or Alaska Native,2010.0,34440.0
Alaska,Female,Native Hawaiian or Other Pacific Islander,2010.0,3798.0
South Dakota,Female,White,2010.0,353984.0
South Dakota,Female,More than one race,2010.0,8137.0
Alabama,Female,White,2010.0,1708508.0
Utah,Male,More than one race,2010.0,29689.0
Virginia,Male,American Indian or Alaska Native,2010.0,21753.0
Utah,Male,White,2010.0,1283515.0
Utah,Male,Native Hawaiian or Other Pacific Islander,2010.0,13677.0
Utah,Male,Black or African American,2010.0,19309.0
Alabama,Female,More than one race,2010.0,33098.0
Utah,Male,Asian,2010.0,27274.0
Utah,Male,American Indian or Alaska Native,2010.0,20632.0
Utah,Female,More than one race,2010.0,29017.0
Utah,Female,White,2010.0,1273566.0
Alabama,Male,American Indian or Alaska Native,2010.0,16787.0
Utah,Female,Native Hawaiian or Other Pacific Islander,2010.0,12546.0
Utah,Female,Black or African American,2010.0,14734.0
Utah,Female,Asian,2010.0,31107.0
Virginia,Male,Asian,2010.0,214318.0
Utah,Female,American Indian or Alaska Native,2010.0,20266.0
Vermont,Female,American Indian or Alaska Native,2010.0,1127.0
Alabama,Male,Asian,2010.0,26475.0
Vermont,Female,Asian,2010.0,4558.0
Vermont,Female,Native Hawaiian or Other Pacific Islander,2010.0,82.0
Virginia,Female,White,2010.0,2894250.0
Virginia,Female,Native Hawaiian or Other Pacific Islander,2010.0,3979.0
Virginia,Female,Black or African American,2010.0,826664.0
Virginia,Female,Asian,2010.0,238669.0
Virginia,Female,American Indian or Alaska Native,2010.0,19921.0
Alabama,Female,Asian,2010.0,29246.0
Vermont,Male,More than one race,2010.0,4973.0
Vermont,Male,White,2010.0,294804.0
Vermont,Male,Native Hawaiian or Other Pacific Islander,2010.0,93.0
Virginia,Female,More than one race,2010.0,102090.0
Vermont,Male,Black or African American,2010.0,3640.0
Alabama,Female,Black or African American,2010.0,673265.0
Vermont,Male,Asian,2010.0,3562.0
Vermont,Male,American Indian or Alaska Native,2010.0,1191.0
Vermont,Female,More than one race,2010.0,5252.0
Vermont,Female,White,2010.0,303721.0
Alabama,Female,Native Hawaiian or Other Pacific Islander,2010.0,2236.0
Vermont,Female,Black or African American,2010.0,2876.0
Oklahoma,Female,White,2010.0,1441155.0
Texas,Male,More than one race,2010.0,200563.0
Texas,Male,Native Hawaiian or Other Pacific Islander,2010.0,15865.0
Tennessee,Female,More than one race,2010.0,49528.0
Virginia,Male,Native Hawaiian or Other Pacific Islander,2010.0,4279.0
Tennessee,Female,White,2010.0,2577282.0
Alaska,Female,American Indian or Alaska Native,2010.0,52768.0
Tennessee,Female,Native Hawaiian or Other Pacific Islander,2010.0,2536.0
Tennessee,Female,Black or African American,2010.0,565793.0
Tennessee,Female,Asian,2010.0,49960.0
