"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths
	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	749
	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	160
	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	690
	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	134
	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	787
	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	131
	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	823
	"Arizona"	"04"	"2012"	"2012"	"Female"	"F"	154
	"Arizona"	"04"	"2012"	"2012"	"Male"	"M"	780
	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	147
	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	782
	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	155
	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	762
	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	167
	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	790
	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	185
	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	897
	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	181
	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	943
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	151
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	971
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	181
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	943
	"Arizona"	"04"	"2020 "	"2020"	"Female"	"F"	191
	"Arizona"	"04"	"2020 "	"2020"	"Male"	"M"	1047
	"Arkansas"	"05"	"1999"	"1999"	"Female"	"F"	62
	"Arkansas"	"05"	"1999"	"1999"	"Male"	"M"	327
	"Arkansas"	"05"	"2000"	"2000"	"Female"	"F"	68
	"Arkansas"	"05"	"2000"	"2000"	"Male"	"M"	346
	"Arkansas"	"05"	"2001"	"2001"	"Female"	"F"	65
	"Arkansas"	"05"	"2001"	"2001"	"Male"	"M"	346
	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	65
	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	376
	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	53
	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	352
	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	60
	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	341
	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	87
	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	350
	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	53
	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	373
	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	69
	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	357
	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	71
	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	373
	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	64
	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	402
	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	68
	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	351
	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	76
	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	385
	"Arkansas"	"05"	"2012"	"2012"	"Female"	"F"	70
	"Arkansas"	"05"	"2012"	"2012"	"Male"	"M"	415
	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	75
	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	425
	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	92
	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	404
	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	100
	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	419
	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	102
	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	433
	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	112
	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	497
	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	93
	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	468
	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	95
	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	478
	"Arkansas"	"05"	"2020 "	"2020"	"Female"	"F"	109
	"Arkansas"	"05"	"2020 "	"2020"	"Male"	"M"	561
	"California"	"06"	"1999"	"1999"	"Female"	"F"	408
	"California"	"06"	"1999"	"1999"	"Male"	"M"	2596
	"California"	"06"	"2000"	"2000"	"Female"	"F"	395
	"California"	"06"	"2000"	"2000"	"Male"	"M"	2655
	"California"	"06"	"2001"	"2001"	"Female"	"F"	390
	"California"	"06"	"2001"	"2001"	"Male"	"M"	2764
	"California"	"06"	"2002"	"2002"	"Female"	"F"	407
	"California"	"06"	"2002"	"2002"	"Male"	"M"	2970
	"California"	"06"	"2003"	"2003"	"Female"	"F"	378
	"California"	"06"	"2003"	"2003"	"Male"	"M"	3019
	"California"	"06"	"2004"	"2004"	"Female"	"F"	366
	"California"	"06"	"2004"	"2004"	"Male"	"M"	2887
	"California"	"06"	"2005"	"2005"	"Female"	"F"	349
	"California"	"06"	"2005"	"2005"	"Male"	"M"	3025
	"California"	"06"	"2006"	"2006"	"Female"	"F"	366
	"California"	"06"	"2006"	"2006"	"Male"	"M"	2930
	"California"	"06"	"2007"	"2007"	"Female"	"F"	379
	"California"	"06"	"2007"	"2007"	"Male"	"M"	2815
	"California"	"06"	"2008"	"2008"	"Female"	"F"	355
	"California"	"06"	"2008"	"2008"	"Male"	"M"	2753
	"California"	"06"	"2009"	"2009"	"Female"	"F"	333
	"California"	"06"	"2009"	"2009"	"Male"	"M"	2707
	"California"	"06"	"2010"	"2010"	"Female"	"F"	358
	"California"	"06"	"2010"	"2010"	"Male"	"M"	2531
	"California"	"06"	"2011"	"2011"	"Female"	"F"	361
	"California"	"06"	"2011"	"2011"	"Male"	"M"	2568
	"California"	"06"	"2012"	"2012"	"Female"	"F"	343
	"California"	"06"	"2012"	"2012"	"Male"	"M"	2619
	"California"	"06"	"2013"	"2013"	"Female"	"F"	352
	"California"	"06"	"2013"	"2013"	"Male"	"M"	2583
	"California"	"06"	"2014"	"2014"	"Female"	"F"	337
	"California"	"06"	"2014"	"2014"	"Male"	"M"	2525
	"California"	"06"	"2015"	"2015"	"Female"	"F"	333
	"California"	"06"	"2015"	"2015"	"Male"	"M"	2663
	"California"	"06"	"2016"	"2016"	"Female"	"F"	362
	"California"	"06"	"2016"	"2016"	"Male"	"M"	2757
	"California"	"06"	"2017"	"2017"	"Female"	"F"	376
	"California"	"06"	"2017"	"2017"	"Male"	"M"	2729
	"California"	"06"	"2018"	"2018"	"Female"	"F"	359
	"California"	"06"	"2018"	"2018"	"Male"	"M"	2607
	"California"	"06"	"2019"	"2019"	"Female"	"F"	345
	"California"	"06"	"2019"	"2019"	"Male"	"M"	2530
	"California"	"06"	"2020 "	"2020"	"Female"	"F"	400
	"California"	"06"	"2020 "	"2020"	"Male"	"M"	2963
	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	74
	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	381
	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	76
	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	369
	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	77
	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	427
	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	78
	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	431
	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	72
	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	421
	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	83
	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	460
	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	73
	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	454
	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	88
	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	403
	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	64
	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	436
	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	64
	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	447
	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	87
	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	490
	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	80
	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	458
	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	79
	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	484
	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	94
	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	573
	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	97
	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	514
	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	101
	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	552
	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	100
	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	589
	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	126
	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	668
	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	109
	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	655
	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	128
	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	739
	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	133
	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	695
	"Colorado"	"08"	"2020 "	"2020"	"Female"	"F"	120
	"Colorado"	"08"	"2020 "	"2020"	"Male"	"M"	781
	"Connecticut"	"09"	"1999"	"1999"	"Female"	"F"	13
	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	184
	"Connecticut"	"09"	"2000"	"2000"	"Female"	"F"	20
	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	161
	"Connecticut"	"09"	"2001"	"2001"	"Female"	"F"	14
	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	179
	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	11
	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	135
	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	22
	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	131
	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	20
	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	153
	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	17
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	170
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	19
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	154
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	19
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	130
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	21
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	178
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	22
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	151
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	18
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	192
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	17
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	193
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	43
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	185
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	Suppressed
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	149
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	16
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	171
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	22
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	164
	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	15
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	155
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	21
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	164
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	21
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	163
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	15
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	171
	"Connecticut"	"09"	"2020 "	"2020"	"Female"	"F"	24
	"Connecticut"	"09"	"2020 "	"2020"	"Male"	"M"	190
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	56
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	43
	"Delaware"	"10"	"2001"	"2001"	"Female"	"F"	17
	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	58
	"Delaware"	"10"	"2002"	"2002"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	66
	"Delaware"	"10"	"2003"	"2003"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	56
	"Delaware"	"10"	"2004"	"2004"	"Female"	"F"	11
	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	63
	"Delaware"	"10"	"2005"	"2005"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	67
	"Delaware"	"10"	"2006"	"2006"	"Female"	"F"	11
	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	65
	"Delaware"	"10"	"2007"	"2007"	"Female"	"F"	13
	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	65
	"Delaware"	"10"	"2008"	"2008"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	90
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	65
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	81
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	13
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	64
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	12
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	80
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	16
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	85
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	Suppressed
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	95
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	16
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	94
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	14
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	98
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	13
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	95
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	16
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	91
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	12
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	79
	"Delaware"	"10"	"2020 "	"2020"	"Female"	"F"	15
	"Delaware"	"10"	"2020 "	"2020"	"Male"	"M"	119
	"District of Columbia"	"11"	"1999"	"1999"	"Female"	"F"	12
	"District of Columbia"	"11"	"1999"	"1999"	"Male"	"M"	147
	"District of Columbia"	"11"	"2000"	"2000"	"Female"	"F"	13
	"District of Columbia"	"11"	"2000"	"2000"	"Male"	"M"	135
	"District of Columbia"	"11"	"2001"	"2001"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2001"	"2001"	"Male"	"M"	161
	"District of Columbia"	"11"	"2002"	"2002"	"Female"	"F"	22
	"District of Columbia"	"11"	"2002"	"2002"	"Male"	"M"	173
	"District of Columbia"	"11"	"2003"	"2003"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2003"	"2003"	"Male"	"M"	159
	"District of Columbia"	"11"	"2004"	"2004"	"Female"	"F"	10
	"District of Columbia"	"11"	"2004"	"2004"	"Male"	"M"	133
	"District of Columbia"	"11"	"2005"	"2005"	"Female"	"F"	10
	"District of Columbia"	"11"	"2005"	"2005"	"Male"	"M"	143
	"District of Columbia"	"11"	"2006"	"2006"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2006"	"2006"	"Male"	"M"	126
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	12
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	130
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	125
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	101
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	93
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	79
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	61
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	64
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	11
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	70
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	109
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	97
	"District of Columbia"	"11"	"2017"	"2017"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2017"	"2017"	"Male"	"M"	90
	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	11
	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	114
	"District of Columbia"	"11"	"2019"	"2019"	"Female"	"F"	Suppressed
	"District of Columbia"	"11"	"2019"	"2019"	"Male"	"M"	131
	"District of Columbia"	"11"	"2020 "	"2020"	"Female"	"F"	22
	"District of Columbia"	"11"	"2020 "	"2020"	"Male"	"M"	145
	"Florida"	"12"	"1999"	"1999"	"Female"	"F"	305
	"Florida"	"12"	"1999"	"1999"	"Male"	"M"	1410
	"Florida"	"12"	"2000"	"2000"	"Female"	"F"	269
	"Florida"	"12"	"2000"	"2000"	"Male"	"M"	1411
	"Florida"	"12"	"2001"	"2001"	"Female"	"F"	286
	"Florida"	"12"	"2001"	"2001"	"Male"	"M"	1525
	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	304
	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	1573
	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	290
	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	1645
	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	324
	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	1558
	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	291
	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	1539
	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	331
	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	1735
	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	339
	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	1915
	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	352
	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	1966
